127.0.0.1 - - [27/Feb/2023:21:15:49 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:02 +0630] "GET /shop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/main HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/strawberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/kiwi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/apple.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/pineapple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /shop/assets/newfruit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:16:03 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:00 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:00 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:10 +0630] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:10 +0630] "GET /shop/fruit HTTP/1.1" 200 17009
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:10 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:17:12 +0630] "GET /shop/login HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:27:20 +0630] "GET /shop/fruit?mode=BUYVIEW&id=6&qty=-20 HTTP/1.1" 200 4798
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:27:27 +0630] "POST /shop/fruit HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:27:27 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Feb/2023:21:27:33 +0630] "GET /shop/login HTTP/1.1" 200 4254
