127.0.0.1 - - [07/Mar/2023:23:55:10 +0630] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:42 +0630] "GET /shop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:42 +0630] "GET /shop/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/main HTTP/1.1" 200 16078
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/kiwi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/strawberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/apple.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/pineapple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:43 +0630] "GET /shop/assets/newfruit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:55:44 +0630] "GET /shop/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:56:15 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:56:15 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:56:18 +0630] "GET /shop/user HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:56:50 +0630] "POST /shop/user HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:56:53 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:57:05 +0630] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:57:05 +0630] "GET /shop/fruit HTTP/1.1" 200 16976
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:57:05 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:58:03 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:58:03 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:58:58 +0630] "GET /shop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:58:58 +0630] "GET /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:59:16 +0630] "POST /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:59:23 +0630] "POST /shop/login HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:59:37 +0630] "POST /shop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:59:37 +0630] "GET /shop/fruit HTTP/1.1" 200 17510
0:0:0:0:0:0:0:1 - - [07/Mar/2023:23:59:37 +0630] "GET /assets/newfruit.jpg HTTP/1.1" 404 775
